Variable,Coef,IRR,SE,z,p,CI95_lo,CI95_hi,Sig
const,2.1876,8.9141,6.6707,0.3279,0.743,0.0,4249178.3115,ns
Tmax,-0.0229,0.9774,0.1398,-0.1636,0.8701,0.7431,1.2856,ns
Tmin,-0.1127,0.8934,0.0836,-1.349,0.1773,0.7584,1.0524,ns
RHI,0.012,1.012,0.0641,0.1864,0.8521,0.8925,1.1476,ns
RHII,0.0286,1.029,0.0168,1.6985,0.0894,0.9956,1.0635,ns
Rainfall_mm,-0.015,0.9851,0.009,-1.6635,0.0962,0.9679,1.0027,ns
SSH,-0.0368,0.9639,0.0611,-0.6027,0.5467,0.8551,1.0864,ns
