Variable,Coef,IRR,SE,z,p,CI95_lo,CI95_hi,Sig
const,11.7844,131192.8752,6.7901,1.7355,0.0826,0.2178,79016921177.1486,ns
Tmax,-0.5949,0.5516,0.1408,-4.2246,0.0,0.4186,0.727,***
Tmin,-0.2249,0.7986,0.0857,-2.6253,0.0087,0.6751,0.9446,**
RHI,0.1461,1.1574,0.0647,2.2571,0.024,1.0194,1.314,*
RHII,0.0112,1.0113,0.0175,0.6427,0.5204,0.9773,1.0465,ns
Rainfall_mm,-0.1,0.9049,0.0341,-2.9348,0.0033,0.8464,0.9673,**
SSH,-0.119,0.8878,0.0618,-1.9249,0.0542,0.7865,1.0022,ns
